@relation gastos

@attribute ano numeric
@attribute mes numeric
@attribute gastos numeric

@data
2021,1,1000.0
2021,2,1500.0
2021,3,4200.0
2021,4,5800.0
2021,5,2500.0
2021,6,62000.0
2021,7,72800.0
2021,8,8200.0
2021,9,9800.0
2021,10,10500.0
2021,11,10200.0
2021,12,15200.0
2022,1,10020.0
2022,2,15020.0
2022,3,50020.0
2022,4,25020.0
2022,5,70020.0
2022,6,15020.0
2022,7,50020.0
2022,8,10500.0
2022,9,9000.0
2022,10,9500.0
2022,11,30200.0
2022,12,10500.0


2023,1,2.0
2023,2,5002.0
2023,3,400.0
2023,4,52800.0
2023,5,25020.0
2023,6,60020.0
2023,7,78020.0
2023,8,82020.0
2023,9,98002.0
2023,10,10500.0
2023,11,10002.0
2023,12,15002.0
